REGION,COUNTRY,NAME,LAT,LON,LAT_DEG,LAT_MIN,LAT_HEMI,LON_DEG,LON_MIN,LON_HEMI,INDEX_NO,Field10,Field11,Combo192,Combo206,Combo210,Combo196,Combo218,Combo198,Combo216,Combo231,Combo223,Combo225,Combo234,Combo236,Field24,Combo238,Combo240,Combo242,Combo244,Combo246,Combo248,Combo254,Combo256,Combo258,Combo260,Combo264,Combo262,Combo266,Combo268,Combo270,Combo272,Combo274,Combo276,Combo278,Combo280,Combo282,Combo284,Combo288,Combo290,Combo292,Combo294,Combo296,Combo304,Combo300,Combo302,Combo306,Combo308,Combo310,Combo312,Combo317,Combo321,Combo319,Combo323,Combo325,Combo327,Combo329,Combo332,Combo335,Combo337,Combo339,Combo341,Combo343,Combo345,Combo347,Combo349,Combo351
14070,CL,PUERTO SAN ANTONIO,-33.583333333333336,-71.61666666666666,33,35,S,71,37,W,14470,125,22294,S,CB,G,Y,Y,N,Y,N,A,A,J,K,4,L,Y,Y,Y,N,Y,Y,Y,,Y,,Y,Y,,Y,Y,Y,Y,Y,,Y,Y,Y,,,,Y,,,N,Y,Y,,,Y,,,,,,,,Y,Y,Y,Y,,,B,,M
14070,CL,BAHIA DE VALPARAISO,-33.03333333333333,-71.61666666666666,33,2,S,71,37,W,14500,125,22293,M,CB,F,N,N,N,N,N,A,A,J,G,1,L,Y,,Y,Y,Y,Y,Y,,Y,,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,,,,,Y,N,,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,A,S,
14070,CL,BAHIA QUINTERO (VENTANAS),-32.766666666666666,-71.53333333333333,32,46,S,71,32,W,14510,125,22293,V,OR,F,N,N,N,Y,Y,,D,G,A,1,L,N,Y,,N,Y,Y,Y,,,N,Y,Y,,Y,,Y,Y,,Y,Y,Y,Y,,,,Y,N,,N,,Y,,,,,Y,Y,,,,,Y,Y,Y,N,,,C,,
14070,CL,BAHIA HERRADURA GUAYACAN,-29.966666666666665,-71.36666666666666,29,58,S,71,22,W,14560,125,22282,V,OR,G,N,N,N,Y,N,F,H,K,F,2,L,Y,,Y,N,Y,Y,Y,,N,N,N,Y,,Y,,Y,Y,,Y,Y,Y,Y,,,,Y,N,,N,,,,,,,,,,,,,Y,Y,Y,Y,,,C,,
14070,CL,COQUIMBO,-29.95,-71.33333333333333,29,57,S,71,20,W,14570,125,22282,V,CN,G,Y,Y,N,Y,N,B,L,K,,3,L,,,,N,Y,Y,Y,,,N,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,Y,Y,,N,Y,Y,,,,Y,Y,Y,Y,N,N,N,Y,Y,Y,Y,N,N,C,,
14070,CL,HUASCO,-28.466666666666665,-71.25,28,28,S,71,15,W,14610,125,,V,OR,F,N,N,N,N,Y,A,A,B,G,1,L,Y,,Y,,Y,Y,Y,,,N,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,Y,N,,N,,,,,,Y,,Y,,,,,Y,N,N,Y,,,C,,S
14070,CL,PUERTO CALDERA,-27.05,-70.83333333333333,27,3,S,70,50,W,14630,125,22252,V,CN,F,,,,Y,,G,C,H,K,1,L,,,Y,N,Y,Y,,,,N,Y,Y,,Y,Y,Y,Y,N,Y,Y,Y,Y,,,,,N,,N,Y,,,,,,Y,Y,,,,,Y,Y,N,Y,,,C,,S
14070,CL,PUERTO CALDERILLA,-27.083333333333332,-70.86666666666666,27,5,S,70,52,W,14635,125,22252,V,CN,G,N,N,N,Y,N,A,E,G,L,3,L,Y,,,,Y,Y,,,,,,,,,,,,,Y,Y,Y,Y,,,,,,,N,Y,Y,,,,,Y,,,,,,Y,Y,N,N,,,C,,
14070,CL,PUERTO CHANARAL,-26.35,-70.65,26,21,S,70,39,W,14640,125,22225,V,CN,F,N,Y,N,,Y,A,G,H,C,2,L,Y,,N,N,Y,Y,Y,,,N,Y,Y,,Y,Y,Y,Y,,Y,Y,Y,Y,,,,Y,N,,Y,,,,,,,,Y,,,,,N,Y,Y,Y,,,C,,S
14070,CL,TALTAL,-25.4,-70.48333333333333,25,24,S,70,29,W,14650,125,22225,V,CN,F,N,N,N,Y,N,C,A,N,G,1,L,,,,N,Y,Y,Y,,,N,N,Y,,Y,Y,Y,Y,,Y,Y,Y,Y,,,,Y,N,,N,Y,,,,,,,,,,,,Y,N,N,,,,C,,S
